transaction_id,date,card_category,revenue,interest_earned,total_trans_amt,annual_fees,total_trans_count,customer_job,education_level,use_chip,exp_type,quarter,month,gender,age_group,income_group
T0000057,2023-11-04,Blue,13.46,17.36,602.22,199,3,Blue-collar,Unknown,Online,Bills,Q4,Nov,F,40-50,Med
T0000058,2023-01-29,Blue,6.82,5.91,582.43,49,3,Govt,Doctorate,Chip,Bills,Q1,Jan,M,60+,Low
T0000059,2023-12-16,Blue,40.45,5.49,793.06,0,3,Businessman,Unknown,Chip,Fuel,Q4,Dec,M,60+,Low
T0000060,2023-06-01,Blue,6.35,4.42,159.91,0,2,Blue-collar,Uneducated,Swipe,Food,Q2,Jun,M,60+,Med
T0000061,2023-01-13,Silver,103.13,66.17,2211.29,0,3,White-collar,Uneducated,Swipe,Bills,Q1,Jan,M,50-60,Med
T0000062,2023-04-08,Blue,79.11,8.05,2462.76,0,3,Blue-collar,Doctorate,Swipe,Entertainment,Q2,Apr,M,50-60,High
T0000063,2023-02-11,Blue,13.62,15.52,1092.47,0,5,Businessman,Post-Graduate,Online,Bills,Q1,Feb,M,50-60,Med
T0000064,2023-08-17,Blue,23.12,2.01,1921.34,0,1,Selfemployed,Doctorate,Chip,Bills,Q3,Aug,F,50-60,Med
T0000065,2023-05-12,Blue,46.41,14.86,1797.26,0,5,Businessman,Post-Graduate,Swipe,Bills,Q2,May,F,30-40,High
T0000066,2023-11-21,Silver,22.07,12.62,978.56,49,2,Businessman,Graduate,Chip,Bills,Q4,Nov,M,60+,High
T0000067,2023-09-12,Blue,22.82,19.07,812.48,0,5,Retirees,Unknown,Chip,Grocery,Q3,Sep,F,40-50,High
T0000068,2023-04-12,Blue,16.45,2.33,1077.85,99,1,White-collar,High School,Swipe,Fuel,Q2,Apr,M,30-40,Med
T0000069,2023-04-17,Blue,48.5,36.04,2230.33,199,1,Govt,Doctorate,Online,Bills,Q2,Apr,M,40-50,Low
T0000070,2023-05-31,Blue,11.1,16.67,628.44,99,2,Blue-collar,Unknown,Swipe,Grocery,Q2,May,M,30-40,Low
T0000071,2023-06-17,Blue,9.24,6.73,273.78,49,3,Selfemployed,High School,Swipe,Bills,Q2,Jun,M,60+,Low
T0000072,2023-01-21,Platinum,50.28,12.71,943.15,0,1,White-collar,Graduate,Swipe,Fuel,Q1,Jan,F,60+,High
T0000073,2023-02-24,Blue,29.78,54.91,2499.69,0,1,Retirees,Post-Graduate,Swipe,Bills,Q1,Feb,F,20-30,Med
T0000074,2023-06-17,Blue,2.67,2.1,176.91,99,2,Selfemployed,High School,Swipe,Bills,Q2,Jun,M,40-50,Low
T0000075,2023-11-24,Blue,6.97,3.91,147.37,49,4,Retirees,High School,Swipe,Bills,Q4,Nov,M,40-50,Med
T0000076,2023-01-10,Platinum,6.4,1.11,408.29,99,3,Selfemployed,Doctorate,Swipe,Grocery,Q1,Jan,F,40-50,Low
T0000077,2023-08-24,Gold,108.7,11.95,2319.52,0,3,White-collar,Graduate,Swipe,Bills,Q3,Aug,F,40-50,Med
T0000078,2023-03-24,Blue,138.65,34.16,2358.83,0,5,Businessman,Graduate,Swipe,Grocery,Q1,Mar,M,30-40,Low
T0000079,2023-11-22,Blue,30.59,21.91,1544.53,99,2,Retirees,Post-Graduate,Chip,Food,Q4,Nov,F,40-50,High
T0000080,2023-01-22,Blue,67.72,1.62,1414.61,0,1,Blue-collar,High School,Swipe,Bills,Q1,Jan,F,20-30,Low
T0000081,2023-07-19,Blue,53.49,21.75,1653.93,0,1,Blue-collar,Doctorate,Chip,Fuel,Q3,Jul,F,40-50,Med
T0000082,2023-11-13,Silver,13.53,10.9,1012.85,0,1,Govt,High School,Swipe,Fuel,Q4,Nov,F,50-60,Med
T0000083,2023-08-15,Blue,16.38,19.48,1288.47,49,2,Retirees,Graduate,Swipe,Bills,Q3,Aug,M,50-60,High
T0000084,2023-01-14,Platinum,101.05,41.81,2031.27,199,2,Blue-collar,Doctorate,Chip,Bills,Q1,Jan,M,30-40,Low
T0000085,2023-02-03,Platinum,70.86,7.91,1265.5,0,5,Blue-collar,Unknown,Swipe,Food,Q1,Feb,M,30-40,Med
T0000086,2023-09-17,Blue,41.31,52.76,2240.62,0,5,Selfemployed,Graduate,Swipe,Entertainment,Q3,Sep,M,50-60,High
T0000087,2023-01-25,Blue,47.0,37.85,1581.85,0,4,Selfemployed,Uneducated,Swipe,Fuel,Q1,Jan,M,60+,Low
T0000088,2023-07-08,Blue,33.15,37.67,1299.94,99,3,Selfemployed,Unknown,Chip,Entertainment,Q3,Jul,F,30-40,Low
T0000089,2023-01-01,Gold,7.42,6.81,347.42,0,1,White-collar,High School,Swipe,Fuel,Q1,Jan,M,50-60,Med
T0000090,2023-01-02,Blue,21.69,7.5,526.38,0,1,Selfemployed,Graduate,Swipe,Fuel,Q1,Jan,M,40-50,Med
T0000091,2023-05-05,Gold,7.14,13.07,675.31,99,3,Govt,Graduate,Swipe,Bills,Q2,May,M,40-50,High
T0000092,2023-11-01,Blue,4.72,1.57,129.12,0,2,Govt,Post-Graduate,Chip,Grocery,Q4,Nov,F,60+,Low
T0000093,2023-01-30,Silver,55.0,25.36,1305.28,49,5,Businessman,Graduate,Swipe,Grocery,Q1,Jan,F,40-50,Low
T0000094,2023-03-31,Blue,1.87,0.8,35.75,49,1,Businessman,Unknown,Swipe,Travel,Q1,Mar,M,50-60,High
T0000095,2023-12-02,Blue,132.25,18.28,2314.44,0,3,White-collar,Graduate,Swipe,Fuel,Q4,Dec,M,50-60,Low
T0000096,2023-11-22,Blue,50.32,63.72,2413.55,0,2,Govt,Doctorate,Chip,Fuel,Q4,Nov,M,40-50,Med
T0000097,2023-05-14,Silver,18.33,22.73,834.81,199,5,Retirees,High School,Online,Grocery,Q2,May,F,50-60,Med
T0000098,2023-08-29,Blue,16.13,14.63,783.22,0,5,Blue-collar,Doctorate,Swipe,Bills,Q3,Aug,F,40-50,High
T0000099,2023-03-29,Blue,1.63,1.86,96.56,0,1,Businessman,Graduate,Swipe,Food,Q1,Mar,F,50-60,Med
T0000100,2023-01-24,Blue,86.31,21.81,1894.32,0,2,Blue-collar,Unknown,Swipe,Travel,Q1,Jan,F,50-60,High
T0000101,2023-04-15,Blue,17.31,6.77,348.98,0,3,Businessman,Doctorate,Swipe,Grocery,Q2,Apr,M,40-50,High
T0000102,2023-06-22,Blue,77.3,27.53,1927.71,0,5,Businessman,Unknown,Swipe,Entertainment,Q2,Jun,M,60+,High
T0000103,2023-01-16,Gold,29.59,1.52,557.1,0,2,Businessman,Uneducated,Swipe,Bills,Q1,Jan,F,40-50,Med
T0000104,2023-08-12,Blue,61.74,6.86,1238.88,49,5,White-collar,Unknown,Chip,Travel,Q3,Aug,M,40-50,Low
T0000105,2023-06-27,Silver,12.24,0.71,292.61,199,5,Blue-collar,Unknown,Swipe,Bills,Q2,Jun,F,40-50,Low
T0000106,2023-02-23,Blue,46.38,14.75,1621.74,49,5,Selfemployed,Graduate,Swipe,Entertainment,Q1,Feb,F,40-50,High
T0000107,2023-09-14,Blue,14.75,21.0,830.12,199,5,Retirees,High School,Online,Bills,Q3,Sep,F,40-50,High
T0000108,2023-06-15,Blue,48.5,12.73,2215.11,0,5,Govt,Doctorate,Chip,Fuel,Q2,Jun,M,40-50,Low
T0000109,2023-03-21,Gold,28.76,10.7,489.4,0,2,White-collar,Doctorate,Swipe,Fuel,Q1,Mar,F,40-50,Low
T0000110,2023-12-03,Blue,21.22,1.62,506.55,0,4,Govt,High School,Online,Grocery,Q4,Dec,M,40-50,High
T0000111,2023-08-26,Blue,14.94,4.51,371.7,199,2,Govt,Uneducated,Chip,Fuel,Q3,Aug,M,40-50,High
T0000112,2023-08-09,Gold,52.67,15.13,1611.02,199,1,Blue-collar,Doctorate,Chip,Food,Q3,Aug,F,50-60,High
T0000113,2023-08-03,Blue,47.57,31.63,1561.49,0,3,Govt,Doctorate,Chip,Bills,Q3,Aug,M,40-50,Med
T0000114,2023-01-06,Blue,10.48,4.39,270.7,199,4,Govt,Graduate,Swipe,Fuel,Q1,Jan,F,40-50,Low
T0000115,2023-09-20,Blue,16.98,13.31,475.83,199,5,Selfemployed,Post-Graduate,Swipe,Grocery,Q3,Sep,F,60+,Med
T0000116,2023-07-02,Blue,69.07,27.48,1578.84,0,2,Selfemployed,Unknown,Swipe,Bills,Q3,Jul,M,60+,Low
T0000117,2023-06-05,Gold,31.26,55.69,2324.96,0,4,Blue-collar,High School,Online,Travel,Q2,Jun,F,30-40,Med
T0000118,2023-11-25,Blue,80.9,44.56,1904.52,49,3,White-collar,High School,Swipe,Fuel,Q4,Nov,M,60+,Med
T0000119,2023-04-28,Blue,43.55,13.3,1810.04,0,3,Govt,Doctorate,Swipe,Entertainment,Q2,Apr,M,20-30,Low
T0000120,2023-09-03,Blue,8.3,4.39,161.52,0,5,Blue-collar,Doctorate,Swipe,Food,Q3,Sep,M,50-60,Low
T0000121,2023-06-26,Blue,4.66,1.9,271.75,49,3,Businessman,Doctorate,Swipe,Travel,Q2,Jun,M,30-40,High
T0000122,2023-03-20,Blue,110.51,56.29,2236.9,0,4,Govt,Post-Graduate,Swipe,Food,Q1,Mar,F,50-60,High
T0000123,2023-12-21,Blue,10.19,8.89,600.76,0,4,Businessman,Doctorate,Chip,Grocery,Q4,Dec,F,30-40,Low
T0000124,2023-08-28,Silver,36.52,12.17,815.3,0,4,Retirees,Uneducated,Swipe,Bills,Q3,Aug,F,30-40,High
T0000125,2023-07-11,Blue,6.26,4.01,133.76,0,5,Retirees,Graduate,Swipe,Entertainment,Q3,Jul,F,20-30,High
T0000126,2023-09-05,Blue,44.78,38.64,1654.38,99,2,White-collar,Graduate,Swipe,Entertainment,Q3,Sep,M,20-30,Low
T0000127,2023-05-26,Blue,35.94,8.32,1021.25,99,3,Govt,Unknown,Swipe,Food,Q2,May,M,50-60,Med
T0000128,2023-04-15,Blue,5.51,3.17,119.33,99,5,Businessman,Unknown,Swipe,Grocery,Q2,Apr,F,50-60,Low
T0000129,2023-01-26,Blue,92.39,42.11,2276.36,199,5,Businessman,Graduate,Swipe,Food,Q1,Jan,F,50-60,Med
T0000130,2023-12-15,Blue,67.62,6.57,2175.63,199,1,Businessman,Doctorate,Chip,Fuel,Q4,Dec,F,50-60,Low
T0000131,2023-07-08,Platinum,25.54,15.59,809.82,0,4,White-collar,Unknown,Swipe,Bills,Q3,Jul,F,40-50,Med
T0000132,2023-10-18,Blue,38.81,27.57,980.11,0,4,Businessman,Uneducated,Swipe,Food,Q4,Oct,F,20-30,Med
T0000133,2023-07-31,Blue,1.87,1.28,43.13,0,2,Businessman,Doctorate,Swipe,Food,Q3,Jul,F,40-50,High
T0000134,2023-03-04,Blue,43.92,19.33,927.37,0,1,Businessman,Unknown,Chip,Bills,Q1,Mar,F,60+,High
T0000135,2023-05-31,Blue,0.52,0.94,48.27,99,1,Retirees,Uneducated,Swipe,Food,Q2,May,F,50-60,Med
T0000136,2023-07-19,Blue,110.08,33.44,2372.92,0,2,Retirees,Post-Graduate,Swipe,Food,Q3,Jul,F,40-50,Med
T0000137,2023-03-01,Blue,75.37,17.24,1965.87,0,5,Retirees,High School,Swipe,Entertainment,Q1,Mar,M,60+,Med
T0000138,2023-11-30,Gold,24.68,20.92,785.32,49,4,Blue-collar,Unknown,Chip,Grocery,Q4,Nov,F,40-50,Low
T0000139,2023-12-17,Blue,74.92,39.27,1474.87,0,3,White-collar,Uneducated,Swipe,Bills,Q4,Dec,M,40-50,Med
T0000140,2023-03-14,Platinum,8.7,5.52,230.96,0,2,Blue-collar,High School,Swipe,Food,Q1,Mar,M,40-50,High
T0000141,2023-06-08,Blue,16.69,28.07,1160.1,0,2,Retirees,Uneducated,Swipe,Bills,Q2,Jun,F,50-60,Med
T0000142,2023-07-23,Blue,12.5,2.16,248.63,99,5,Selfemployed,Post-Graduate,Swipe,Fuel,Q3,Jul,F,30-40,Low
T0000143,2023-07-03,Blue,31.24,2.31,941.74,0,5,Blue-collar,High School,Swipe,Food,Q3,Jul,M,50-60,Med
T0000144,2023-01-16,Blue,30.93,4.61,549.69,0,4,Blue-collar,Post-Graduate,Swipe,Bills,Q1,Jan,M,40-50,High
T0000145,2023-10-31,Platinum,5.55,3.83,146.47,49,4,White-collar,Unknown,Chip,Entertainment,Q4,Oct,M,20-30,Low
T0000146,2023-02-02,Platinum,8.67,16.53,598.36,99,4,Retirees,Uneducated,Chip,Grocery,Q1,Feb,M,40-50,Low
T0000147,2023-04-04,Blue,18.07,17.73,654.54,0,1,White-collar,Unknown,Online,Travel,Q2,Apr,F,20-30,Low
T0000148,2023-05-13,Gold,107.8,38.43,1892.28,0,5,Retirees,Doctorate,Chip,Travel,Q2,May,F,30-40,Low
T0000149,2023-10-30,Blue,30.84,23.29,961.52,199,1,Retirees,Graduate,Swipe,Entertainment,Q4,Oct,F,40-50,Med
T0000150,2023-08-28,Gold,11.86,1.07,366.61,49,1,White-collar,Graduate,Swipe,Food,Q3,Aug,M,50-60,Low
T0000151,2023-11-18,Blue,7.31,12.2,569.69,99,2,Selfemployed,Unknown,Chip,Fuel,Q4,Nov,M,30-40,High
T0000152,2023-08-13,Platinum,15.07,4.16,436.14,49,1,Selfemployed,Uneducated,Swipe,Bills,Q3,Aug,M,40-50,Med
T0000153,2023-03-20,Silver,15.07,9.19,315.59,49,3,Businessman,Doctorate,Chip,Grocery,Q1,Mar,M,50-60,Low
T0000154,2023-05-03,Silver,51.58,24.48,1606.73,99,2,Businessman,Uneducated,Swipe,Food,Q2,May,M,30-40,Low
T0000155,2023-08-15,Blue,24.42,7.33,468.1,0,2,Blue-collar,Unknown,Swipe,Entertainment,Q3,Aug,F,30-40,Med
T0000156,2023-04-11,Blue,69.65,9.69,1681.35,0,2,Businessman,Post-Graduate,Chip,Grocery,Q2,Apr,F,30-40,Low
T0000157,2023-01-06,Blue,112.2,31.18,2107.93,0,4,Retirees,Post-Graduate,Swipe,Grocery,Q1,Jan,M,40-50,Low
T0000158,2023-09-02,Blue,37.38,0.13,940.49,99,4,Retirees,Unknown,Swipe,Fuel,Q3,Sep,F,30-40,Med
T0000159,2023-09-22,Blue,55.23,7.26,2247.15,199,4,Selfemployed,Doctorate,Swipe,Food,Q3,Sep,M,40-50,Med
T0000160,2023-08-17,Blue,11.17,7.27,436.34,0,1,Blue-collar,Post-Graduate,Swipe,Bills,Q3,Aug,F,40-50,Low
T0000161,2023-02-19,Silver,26.69,45.98,1762.56,199,2,Retirees,High School,Swipe,Food,Q1,Feb,M,40-50,High
T0000162,2023-01-24,Blue,82.07,15.1,2213.41,0,2,Govt,Uneducated,Swipe,Grocery,Q1,Jan,F,30-40,Low
T0000163,2023-12-09,Blue,60.24,1.63,1500.66,0,3,Retirees,Uneducated,Swipe,Food,Q4,Dec,M,50-60,High
T0000164,2023-06-23,Blue,5.48,4.39,152.81,0,2,Selfemployed,Doctorate,Swipe,Travel,Q2,Jun,M,50-60,Med
T0000165,2023-08-05,Blue,35.73,21.2,1679.47,49,4,Businessman,Unknown,Swipe,Bills,Q3,Aug,M,30-40,Med
T0000166,2023-11-21,Blue,23.81,6.09,2019.7,0,5,Businessman,Graduate,Chip,Fuel,Q4,Nov,M,40-50,High
T0000167,2023-01-07,Blue,134.44,64.86,2398.52,0,4,Businessman,Unknown,Swipe,Entertainment,Q1,Jan,F,20-30,Low
T0000168,2023-10-30,Blue,32.75,15.54,699.8,0,4,White-collar,Uneducated,Swipe,Bills,Q4,Oct,M,40-50,Med
T0000169,2023-11-09,Blue,26.21,18.99,773.18,0,2,White-collar,Doctorate,Swipe,Fuel,Q4,Nov,M,50-60,Med
T0000170,2023-06-20,Blue,62.38,23.25,2381.15,0,3,Blue-collar,Post-Graduate,Swipe,Fuel,Q2,Jun,M,30-40,Low
T0000171,2023-04-21,Blue,67.34,13.83,1302.15,0,5,Businessman,High School,Swipe,Fuel,Q2,Apr,M,50-60,Med
T0000172,2023-04-26,Silver,21.17,4.34,522.18,99,1,Retirees,Doctorate,Chip,Entertainment,Q2,Apr,M,30-40,High
T0000173,2023-09-01,Blue,75.4,28.66,1918.88,99,2,Retirees,Doctorate,Chip,Grocery,Q3,Sep,F,20-30,Med
T0000174,2023-08-02,Platinum,24.73,14.12,894.49,99,4,Selfemployed,Post-Graduate,Swipe,Entertainment,Q3,Aug,M,30-40,Med
T0000175,2023-11-28,Blue,31.75,7.66,1100.4,0,3,Retirees,Uneducated,Swipe,Entertainment,Q4,Nov,M,50-60,High
T0000176,2023-11-08,Platinum,49.55,39.23,1421.04,0,5,Selfemployed,High School,Online,Food,Q4,Nov,F,20-30,Low
T0000177,2023-11-14,Silver,55.41,0.53,1697.04,0,5,Blue-collar,Post-Graduate,Chip,Entertainment,Q4,Nov,M,20-30,Med
T0000178,2023-04-28,Blue,82.81,31.85,2411.89,99,5,Selfemployed,Post-Graduate,Swipe,Fuel,Q2,Apr,F,50-60,High
T0000179,2023-06-25,Blue,16.09,6.09,294.07,99,4,Retirees,Graduate,Swipe,Entertainment,Q2,Jun,M,40-50,Low
T0000180,2023-11-20,Blue,21.79,24.29,1421.08,199,1,Selfemployed,Post-Graduate,Swipe,Food,Q4,Nov,F,20-30,Med
T0000181,2023-12-21,Blue,63.97,8.69,1473.78,49,5,Businessman,Unknown,Chip,Fuel,Q4,Dec,M,50-60,Med
T0000182,2023-10-18,Blue,13.67,5.82,380.48,0,1,Retirees,Post-Graduate,Swipe,Bills,Q4,Oct,M,40-50,Low
T0000183,2023-02-08,Blue,25.03,10.4,1455.53,0,2,Blue-collar,Uneducated,Chip,Fuel,Q1,Feb,F,50-60,Low
T0000184,2023-01-17,Blue,16.86,12.97,565.72,0,4,Businessman,Post-Graduate,Swipe,Bills,Q1,Jan,M,20-30,High
T0000185,2023-01-28,Blue,71.12,27.24,2170.13,0,4,White-collar,High School,Swipe,Food,Q1,Jan,M,20-30,Low
T0000186,2023-02-04,Blue,60.62,8.92,1221.29,0,2,Govt,Doctorate,Chip,Bills,Q1,Feb,M,50-60,Med
T0000187,2023-07-03,Blue,94.94,20.71,1635.18,0,5,Businessman,Unknown,Swipe,Entertainment,Q3,Jul,M,40-50,Med
T0000188,2023-05-06,Blue,18.42,1.13,406.62,0,5,Govt,Unknown,Swipe,Entertainment,Q2,May,F,40-50,Med
T0000189,2023-03-07,Blue,48.9,68.38,2396.84,99,2,Govt,High School,Swipe,Entertainment,Q1,Mar,M,40-50,High
T0000190,2023-04-27,Platinum,20.81,17.02,932.63,0,2,Retirees,High School,Online,Travel,Q2,Apr,M,40-50,High
T0000191,2023-03-04,Blue,36.47,16.7,1427.85,0,2,Businessman,Post-Graduate,Chip,Grocery,Q1,Mar,F,50-60,Med
T0000192,2023-04-29,Blue,25.95,15.6,1802.42,199,4,Retirees,Graduate,Swipe,Food,Q2,Apr,M,30-40,High
T0000193,2023-05-25,Blue,46.43,19.26,929.12,49,1,Govt,Doctorate,Chip,Food,Q2,May,M,30-40,Low
T0000194,2023-12-04,Gold,17.01,6.73,305.77,199,1,Govt,High School,Online,Entertainment,Q4,Dec,F,30-40,High
T0000195,2023-07-27,Blue,90.24,26.78,1581.05,0,5,White-collar,Uneducated,Swipe,Entertainment,Q3,Jul,F,40-50,Med
T0000196,2023-09-12,Gold,47.31,2.51,1945.65,99,5,Selfemployed,Uneducated,Chip,Fuel,Q3,Sep,F,50-60,Low
T0000197,2023-12-23,Blue,10.45,2.76,233.62,199,5,White-collar,Doctorate,Swipe,Grocery,Q4,Dec,M,50-60,Low
T0000198,2023-04-24,Blue,34.47,34.29,1697.94,0,4,Businessman,Unknown,Online,Entertainment,Q2,Apr,M,40-50,Med
T0000199,2023-04-07,Blue,8.29,6.86,639.23,49,1,Retirees,Post-Graduate,Swipe,Fuel,Q2,Apr,F,40-50,High
T0000200,2023-04-14,Blue,1.54,0.14,34.58,199,3,White-collar,High School,Chip,Fuel,Q2,Apr,F,50-60,Med
