customer_id,gender,age_group,income_group,education_level,marital_status,state,customer_job,total_income,cust_satisfaction_score
C000046,M,40-50,Med,Unknown,Single,TX,White-collar,121930.43,4.49
C000047,F,30-40,Low,Post-Graduate,Single,NJ,Govt,232671.15,4.35
C000048,F,60+,Low,High School,Unknown,NY,Govt,207349.23,2.19
C000049,F,30-40,Low,Doctorate,Single,PA,Govt,236104.45,3.24
C000050,M,40-50,High,Doctorate,Single,PA,Selfemployed,170586.58,2.06
C000051,M,20-30,Med,Doctorate,Unknown,NC,White-collar,32039.39,3.8
C000052,M,40-50,Low,Uneducated,Married,NJ,Blue-collar,214424.1,2.13
C000053,F,40-50,Low,Unknown,Married,MI,Blue-collar,109711.88,1.46
C000054,M,20-30,Low,High School,Married,FL,Businessman,119884.32,3.67
C000055,M,30-40,Med,Unknown,Single,NC,Selfemployed,54921.21,3.59
C000056,M,40-50,Low,Graduate,Unknown,MI,White-collar,141348.54,2.11
C000057,F,50-60,Low,Graduate,Married,FL,Selfemployed,70753.59,2.34
C000058,M,20-30,Low,Graduate,Unknown,IL,Blue-collar,84847.72,2.89
C000059,F,40-50,Low,Doctorate,Single,PA,Selfemployed,95988.55,1.61
C000060,M,30-40,Med,Unknown,Single,FL,Retirees,51214.47,4.74
C000061,F,50-60,Med,Post-Graduate,Married,NC,Blue-collar,15372.95,1.23
C000062,M,50-60,Med,Post-Graduate,Unknown,CA,Retirees,76761.96,1.53
C000063,M,50-60,Med,Unknown,Unknown,GA,Retirees,108645.2,2.26
C000064,M,60+,Med,High School,Married,PA,White-collar,134035.05,4.32
C000065,M,40-50,Low,Uneducated,Single,GA,Blue-collar,223438.93,2.43
C000066,F,50-60,Low,High School,Unknown,TX,Selfemployed,112011.65,2.04
C000067,M,60+,High,High School,Married,GA,White-collar,91546.72,4.1
C000068,M,50-60,Low,Graduate,Unknown,CA,Govt,100564.64,1.79
C000069,M,50-60,Med,Unknown,Single,GA,White-collar,247568.9,4.36
C000070,M,40-50,Med,High School,Married,NC,White-collar,17978.52,1.41
C000071,M,30-40,Med,Graduate,Unknown,NJ,Retirees,129893.74,4.09
C000072,F,60+,Med,High School,Married,NC,Retirees,112697.83,4.19
C000073,F,40-50,High,Post-Graduate,Unknown,IL,Retirees,33641.17,4.26
C000074,F,30-40,Low,Graduate,Single,PA,Selfemployed,77715.38,4.12
C000075,F,40-50,Med,Uneducated,Unknown,MI,Businessman,136196.06,4.04
C000076,F,60+,Low,Doctorate,Single,NY,White-collar,213507.3,1.88
C000077,M,40-50,Med,Graduate,Unknown,MI,Blue-collar,121982.36,2.55
C000078,M,50-60,Low,Doctorate,Single,MI,Businessman,108142.39,1.24
C000079,M,50-60,Med,High School,Married,IL,Selfemployed,45155.64,3.08
C000080,F,60+,Low,Post-Graduate,Unknown,PA,Businessman,77250.03,2.77
C000081,F,50-60,Med,Post-Graduate,Single,FL,Selfemployed,234751.83,3.26
C000082,M,30-40,Low,High School,Single,MI,Selfemployed,201476.74,3.86
C000083,F,40-50,Low,Uneducated,Single,IL,Retirees,26675.76,3.27
C000084,M,30-40,High,Doctorate,Married,NJ,Selfemployed,161702.1,3.59
C000085,F,40-50,Med,Unknown,Married,NC,Retirees,164962.7,1.64
C000086,F,40-50,Low,High School,Unknown,NY,White-collar,197731.38,1.69
C000087,F,30-40,Low,Doctorate,Single,FL,Blue-collar,142131.97,2.99
C000088,M,40-50,High,Post-Graduate,Unknown,NY,Govt,74874.39,4.78
C000089,F,50-60,Low,Uneducated,Married,GA,Govt,159831.28,1.66
C000090,F,40-50,Low,Doctorate,Single,GA,Govt,108637.18,1.1
C000091,F,30-40,Med,Graduate,Unknown,GA,Selfemployed,60530.28,3.82
C000092,M,50-60,High,Uneducated,Married,IL,White-collar,110784.59,2.44
C000093,F,50-60,Low,Unknown,Unknown,GA,Selfemployed,117961.23,3.03
C000094,F,60+,Med,Doctorate,Single,PA,White-collar,47123.27,3.92
C000095,F,50-60,Low,Uneducated,Married,TX,Businessman,207365.71,1.74
C000096,F,50-60,Low,Post-Graduate,Married,NJ,Selfemployed,34923.4,4.31
C000097,M,50-60,High,Post-Graduate,Single,NC,Selfemployed,203936.12,1.73
C000098,M,20-30,Med,Graduate,Single,PA,Blue-collar,145007.02,2.86
C000099,F,30-40,Med,Doctorate,Unknown,NJ,Selfemployed,137865.48,2.55
C000100,F,30-40,Med,Unknown,Married,GA,Govt,149134.68,3.4
C000101,M,40-50,Med,High School,Unknown,FL,Businessman,173935.04,1.6
C000102,F,40-50,Low,High School,Single,IL,Selfemployed,153123.26,4.56
C000103,M,50-60,High,Unknown,Unknown,IL,White-collar,104246.7,4.46
C000104,M,60+,High,Unknown,Unknown,CA,Retirees,162354.13,4.96
C000105,F,50-60,Med,Unknown,Single,GA,White-collar,139355.56,4.26
C000106,M,40-50,Low,Uneducated,Single,GA,White-collar,154602.46,2.36
C000107,M,50-60,Med,Post-Graduate,Married,MI,White-collar,235386.6,4.91
C000108,F,40-50,Low,Unknown,Married,PA,Businessman,201012.92,1.72
C000109,M,40-50,High,High School,Unknown,MI,Selfemployed,204408.72,2.61
C000110,F,60+,Med,Unknown,Single,MI,Businessman,208090.73,1.8
C000111,M,30-40,High,Unknown,Married,IL,White-collar,214144.51,1.32
C000112,F,30-40,Low,Graduate,Single,CA,Selfemployed,204582.21,3.93
C000113,M,30-40,High,Unknown,Married,TX,Selfemployed,229077.71,4.07
C000114,F,40-50,Low,Graduate,Single,FL,Retirees,110384.09,1.71
C000115,M,40-50,Med,Post-Graduate,Single,MI,Blue-collar,131432.51,3.15
C000116,F,50-60,Low,Post-Graduate,Married,NY,Selfemployed,247692.65,3.11
C000117,F,40-50,High,Graduate,Single,NY,Govt,98897.3,1.5
C000118,F,40-50,Med,Doctorate,Single,PA,Retirees,141449.73,2.84
C000119,F,40-50,Low,Graduate,Single,TX,Selfemployed,162856.9,4.37
C000120,M,60+,High,Uneducated,Unknown,MI,Blue-collar,183707.57,2.27
C000121,M,40-50,Med,Post-Graduate,Unknown,CA,Govt,181727.59,1.68
C000122,M,40-50,Low,Post-Graduate,Married,IL,White-collar,160810.09,1.11
C000123,F,40-50,Low,Post-Graduate,Married,NY,Businessman,63684.84,3.65
C000124,M,60+,High,Post-Graduate,Single,NJ,White-collar,219146.41,4.43
C000125,M,40-50,Med,High School,Married,PA,Govt,210541.63,1.31
C000126,M,30-40,Med,High School,Single,GA,Govt,16486.43,1.77
C000127,F,40-50,Low,Doctorate,Married,GA,Selfemployed,208281.05,3.99
C000128,F,40-50,High,Unknown,Single,NJ,White-collar,144310.54,3.27
C000129,M,40-50,Med,Post-Graduate,Unknown,NY,Retirees,152749.81,2.18
C000130,F,30-40,Low,Uneducated,Married,IL,Govt,145915.54,1.23
C000131,F,50-60,High,Uneducated,Unknown,FL,Retirees,40028.91,2.81
C000132,F,40-50,Med,Post-Graduate,Unknown,NY,White-collar,234247.36,3.12
C000133,M,30-40,High,Uneducated,Single,NY,Blue-collar,246461.59,4.9
C000134,M,50-60,Low,Unknown,Married,PA,Govt,139976.22,2.14
C000135,M,30-40,Low,High School,Married,CA,Govt,213437.97,2.37
C000136,M,30-40,Low,High School,Single,FL,Retirees,149090.77,4.5
C000137,F,20-30,Low,Post-Graduate,Single,NC,White-collar,153031.89,4.27
C000138,F,50-60,Low,Post-Graduate,Married,PA,Govt,141620.08,2.82
C000139,M,40-50,High,Post-Graduate,Married,CA,Govt,78592.98,2.83
C000140,M,30-40,High,Post-Graduate,Single,NC,Selfemployed,203205.95,2.13
C000141,M,60+,High,High School,Unknown,FL,Businessman,184398.29,1.47
C000142,M,60+,High,Graduate,Unknown,GA,Retirees,45354.17,4.75
C000143,F,40-50,Med,High School,Unknown,PA,Selfemployed,223080.9,1.56
C000144,F,30-40,Med,Uneducated,Married,NJ,Selfemployed,66852.94,3.64
C000145,M,30-40,Low,Unknown,Single,NY,Retirees,67749.34,3.75
C000146,M,40-50,High,Doctorate,Married,IL,Blue-collar,120059.45,2.23
C000147,F,50-60,Med,Post-Graduate,Unknown,PA,Govt,180938.95,2.73
C000148,F,50-60,High,Uneducated,Single,NY,Retirees,15827.27,3.01
C000149,M,20-30,Low,High School,Unknown,NC,Blue-collar,159560.09,4.64
C000150,M,50-60,Med,Unknown,Single,NY,Blue-collar,109462.36,4.33
C000151,F,50-60,Low,Doctorate,Unknown,NJ,Govt,52365.24,3.73
C000152,F,30-40,Low,Unknown,Married,NC,Blue-collar,198733.95,3.23
C000153,F,20-30,Med,Graduate,Unknown,NC,Businessman,78098.69,4.84
C000154,M,40-50,Low,High School,Married,IL,Govt,109514.24,2.46
C000155,F,50-60,Med,Doctorate,Married,MI,Blue-collar,84285.2,2.84
C000156,M,50-60,Low,Doctorate,Unknown,NJ,Selfemployed,210912.58,1.9
C000157,M,40-50,High,Graduate,Married,FL,Govt,89040.41,1.01
C000158,M,50-60,Low,Doctorate,Married,PA,Blue-collar,167052.32,2.49
C000159,M,20-30,High,Uneducated,Single,NJ,Businessman,64816.2,2.11
C000160,F,30-40,Med,Doctorate,Married,NC,Selfemployed,30674.17,1.95
C000161,M,50-60,Low,Graduate,Single,MI,Businessman,74056.74,4.1
C000162,F,40-50,High,Uneducated,Married,PA,Businessman,22888.77,2.04
C000163,F,40-50,Med,High School,Unknown,FL,Blue-collar,119876.26,3.09
C000164,M,40-50,Med,Doctorate,Unknown,PA,Blue-collar,89459.0,3.3
C000165,M,50-60,Med,High School,Unknown,TX,Blue-collar,170203.0,4.4
C000166,F,30-40,High,Doctorate,Married,TX,Govt,21808.74,4.39
C000167,F,50-60,Med,Unknown,Unknown,GA,Retirees,196302.21,3.06
C000168,F,40-50,Med,Uneducated,Married,FL,Retirees,122925.95,1.11
C000169,F,40-50,High,Doctorate,Unknown,NJ,Blue-collar,117681.48,3.73
C000170,F,40-50,Med,Uneducated,Married,NC,Blue-collar,128903.76,1.87
C000171,M,50-60,Med,Post-Graduate,Unknown,NC,Govt,116644.32,1.1
C000172,F,30-40,High,Uneducated,Married,TX,Govt,58405.0,3.32
C000173,F,40-50,Low,Graduate,Unknown,NC,Retirees,247290.45,3.19
C000174,M,50-60,High,Uneducated,Single,MI,Selfemployed,171247.46,1.11
C000175,M,20-30,High,Unknown,Married,FL,Businessman,81306.38,1.26
C000176,F,50-60,Med,Unknown,Single,MI,White-collar,223131.12,3.47
C000177,M,40-50,Med,Post-Graduate,Unknown,NJ,Retirees,225369.95,3.21
C000178,F,60+,Med,Post-Graduate,Married,TX,Retirees,76956.1,3.57
C000179,F,40-50,Med,Graduate,Married,PA,Selfemployed,121517.45,4.03
C000180,F,40-50,Med,Unknown,Unknown,FL,White-collar,140596.96,2.45
C000181,F,30-40,Med,Post-Graduate,Single,NJ,Govt,207192.23,4.59
C000182,F,50-60,High,Post-Graduate,Single,MI,Blue-collar,40169.03,1.82
C000183,F,40-50,High,Uneducated,Single,NJ,Govt,203822.49,4.31
C000184,M,40-50,High,Unknown,Married,CA,Retirees,129168.45,2.67
C000185,F,30-40,Med,Unknown,Married,GA,Businessman,135445.43,2.95
C000186,M,30-40,Med,Doctorate,Unknown,PA,Govt,193198.13,4.29
C000187,M,40-50,Med,Doctorate,Single,TX,Blue-collar,185836.13,3.75
C000188,F,20-30,Low,Unknown,Married,NC,Govt,67902.08,1.63
C000189,M,40-50,High,Post-Graduate,Married,PA,Blue-collar,130197.52,1.75
C000190,F,50-60,Low,Unknown,Single,NJ,Businessman,88988.78,2.17
C000191,M,40-50,Med,Post-Graduate,Unknown,FL,White-collar,29241.3,3.08
C000192,F,30-40,Low,Unknown,Unknown,NJ,Retirees,43946.46,1.31
C000193,M,50-60,Low,Unknown,Married,MI,Govt,75142.44,3.55
C000194,M,50-60,Low,Graduate,Married,PA,White-collar,52138.05,4.55
C000195,F,40-50,High,Uneducated,Single,NJ,Businessman,40817.62,2.11
C000196,F,50-60,High,Doctorate,Single,MI,Businessman,32030.79,4.94
C000197,M,60+,High,Uneducated,Single,FL,Govt,154461.8,1.41
C000198,M,30-40,Med,Unknown,Single,CA,Selfemployed,63907.8,3.0
C000199,M,50-60,Low,Graduate,Married,NC,Businessman,67815.95,4.51
C000200,F,60+,Low,Unknown,Single,IL,Selfemployed,82390.68,4.77
C000201,F,40-50,Low,High School,Unknown,NY,Retirees,77590.99,2.55
C000202,F,40-50,Low,Uneducated,Married,NC,White-collar,240126.62,1.42
C000203,F,60+,Med,High School,Unknown,GA,Govt,39500.58,2.28
C000204,M,50-60,High,Uneducated,Unknown,FL,Blue-collar,82158.61,3.43
C000205,F,20-30,Low,Doctorate,Married,TX,Blue-collar,86287.8,1.15
C000206,F,40-50,Med,Graduate,Single,FL,Blue-collar,225121.82,3.71
C000207,M,30-40,Med,Doctorate,Single,GA,Selfemployed,146375.89,3.61
C000208,F,50-60,High,High School,Single,NJ,White-collar,168936.76,1.7
C000209,F,60+,High,Uneducated,Married,FL,Govt,172906.83,2.95
C000210,F,50-60,Low,High School,Married,NJ,White-collar,166886.37,4.34
C000211,F,50-60,High,Unknown,Single,MI,Retirees,117933.35,4.43
C000212,F,60+,Low,Unknown,Married,PA,Retirees,77376.66,3.9
C000213,M,50-60,Low,Post-Graduate,Single,GA,Blue-collar,33219.18,4.41
C000214,M,60+,Med,Doctorate,Single,IL,White-collar,23936.38,4.68
C000215,M,60+,Med,Unknown,Married,TX,Retirees,231167.21,3.66
C000216,F,40-50,High,Graduate,Single,IL,White-collar,172340.65,1.24
C000217,F,40-50,High,Doctorate,Unknown,NY,Govt,247906.17,3.24
C000218,M,50-60,Med,Unknown,Single,PA,Govt,108215.0,4.92
C000219,F,50-60,Med,Graduate,Single,GA,Selfemployed,223552.0,2.42
C000220,F,20-30,Low,Doctorate,Single,NY,Businessman,67364.66,2.39
C000221,M,50-60,Low,High School,Unknown,FL,White-collar,195144.59,1.92
C000222,F,50-60,High,Doctorate,Unknown,NJ,Retirees,128767.78,3.74
C000223,M,40-50,Med,Doctorate,Unknown,CA,White-collar,107040.26,4.13
C000224,M,40-50,High,Uneducated,Single,MI,Retirees,62069.86,1.17
C000225,F,40-50,High,Unknown,Unknown,MI,Selfemployed,143418.57,1.87
C000226,M,60+,Low,Post-Graduate,Unknown,IL,White-collar,128756.8,3.4
C000227,M,50-60,Med,High School,Married,FL,Selfemployed,84219.95,4.5
C000228,M,40-50,Low,Graduate,Unknown,NJ,Businessman,243809.33,1.01
C000229,M,50-60,High,Uneducated,Married,IL,Blue-collar,169650.04,2.21
C000230,F,40-50,Med,Graduate,Married,NJ,Blue-collar,181097.47,2.12
C000231,F,50-60,Low,Post-Graduate,Single,GA,Blue-collar,98958.13,3.55
C000232,F,60+,High,Graduate,Married,GA,Blue-collar,115390.64,1.81
C000233,M,50-60,Med,Unknown,Married,IL,White-collar,125789.29,3.66
C000234,M,50-60,High,Graduate,Unknown,NC,Selfemployed,105766.06,4.53
C000235,F,20-30,Low,Post-Graduate,Married,CA,Retirees,26448.97,4.93
C000236,F,40-50,High,Doctorate,Married,IL,Businessman,197936.01,1.32
C000237,F,40-50,High,Unknown,Married,MI,Blue-collar,36585.2,3.65
C000238,F,60+,Med,Uneducated,Unknown,GA,Blue-collar,39727.45,1.07
C000239,M,50-60,High,Uneducated,Married,NC,White-collar,134965.79,2.91
C000240,M,40-50,Low,Doctorate,Unknown,GA,Selfemployed,179187.94,3.67
C000241,M,20-30,High,Graduate,Single,NC,Govt,248685.88,1.52
C000242,M,30-40,High,Unknown,Unknown,TX,Blue-collar,190454.46,4.69
C000243,M,40-50,Med,Uneducated,Married,CA,Businessman,98276.72,1.69
C000244,F,40-50,High,Post-Graduate,Single,NY,Businessman,233133.64,3.27
C000245,M,40-50,High,Uneducated,Married,TX,Selfemployed,111578.06,1.75
C000246,M,50-60,Low,Doctorate,Married,MI,White-collar,145716.7,3.66
C000247,M,50-60,Low,Uneducated,Married,MI,Selfemployed,235990.43,4.57
C000248,M,30-40,Med,Post-Graduate,Unknown,NC,Retirees,151931.45,2.6
C000249,F,50-60,Med,Post-Graduate,Married,MI,Businessman,210064.77,3.84
C000250,F,40-50,High,Uneducated,Single,NY,Businessman,186032.31,3.81
C000251,M,30-40,Med,Doctorate,Single,GA,White-collar,110225.4,4.66
C000252,M,40-50,Med,Uneducated,Unknown,GA,Blue-collar,32009.41,1.75
C000253,M,30-40,Low,Doctorate,Single,NJ,Blue-collar,99240.29,3.68
C000254,M,40-50,Low,Doctorate,Single,NC,Businessman,223017.27,2.94
C000255,F,30-40,High,Graduate,Unknown,NJ,Businessman,137964.67,3.31
C000256,M,50-60,Low,Unknown,Unknown,CA,Govt,116581.05,2.28
C000257,M,40-50,Low,Unknown,Unknown,FL,Businessman,65005.19,2.92
C000258,F,40-50,Low,Doctorate,Unknown,PA,Retirees,58879.4,3.87
C000259,F,40-50,High,Unknown,Married,CA,Govt,116286.07,1.16
C000260,M,40-50,Med,Uneducated,Single,PA,Blue-collar,61974.16,3.19
C000261,M,30-40,Med,Post-Graduate,Single,CA,White-collar,228950.34,1.46
C000262,F,40-50,Med,Uneducated,Single,MI,Govt,245635.82,2.17
C000263,F,40-50,High,Uneducated,Unknown,FL,Selfemployed,60290.27,4.63
C000264,M,50-60,Low,Post-Graduate,Married,CA,Blue-collar,141317.5,3.47
C000265,M,60+,High,High School,Married,NJ,Blue-collar,117731.59,3.82
C000266,M,40-50,Med,Doctorate,Unknown,IL,White-collar,237772.04,4.71
C000267,M,20-30,High,Graduate,Unknown,NY,Retirees,232056.26,4.5
C000268,F,40-50,Med,Post-Graduate,Unknown,PA,Govt,87512.07,2.93
C000269,F,50-60,Med,High School,Unknown,NC,White-collar,178370.84,3.11
C000270,F,60+,Low,Uneducated,Unknown,TX,White-collar,242941.54,1.23
C000271,F,30-40,Low,Graduate,Single,TX,White-collar,221058.62,2.6
C000272,M,50-60,Med,High School,Unknown,NJ,Businessman,42046.41,3.41
C000273,M,60+,High,High School,Unknown,GA,Blue-collar,83211.28,2.68
C000274,F,50-60,Med,Post-Graduate,Unknown,FL,Blue-collar,154612.79,4.13
C000275,F,30-40,Med,Graduate,Unknown,PA,Businessman,177048.88,4.33
C000276,F,30-40,High,High School,Single,PA,Businessman,217942.29,2.03
C000277,F,50-60,Low,Post-Graduate,Single,MI,Blue-collar,31226.94,2.97
C000278,M,30-40,Med,Doctorate,Unknown,NC,Retirees,68449.86,2.3
C000279,F,20-30,High,Graduate,Single,GA,Blue-collar,203606.83,3.5
C000280,F,40-50,Med,High School,Single,PA,White-collar,46732.23,4.81
C000281,F,50-60,High,High School,Married,PA,Businessman,25653.46,4.48
C000282,M,20-30,Low,High School,Married,CA,Retirees,17039.65,1.39
C000283,M,40-50,Med,Doctorate,Married,CA,Selfemployed,219996.61,3.7
C000284,M,50-60,Low,Post-Graduate,Married,GA,Selfemployed,162984.78,2.31
C000285,M,30-40,Low,Uneducated,Married,NY,White-collar,197480.55,3.38
C000286,M,40-50,Med,High School,Married,NJ,Businessman,148834.07,2.3
C000287,F,30-40,Med,Post-Graduate,Married,CA,Selfemployed,89692.4,1.47
C000288,F,30-40,High,Graduate,Unknown,NJ,White-collar,143151.89,3.13
C000289,F,50-60,High,Unknown,Single,NC,Blue-collar,154894.24,2.08
C000290,M,50-60,High,Unknown,Married,IL,Businessman,58453.85,1.85
C000291,M,50-60,Low,Uneducated,Married,PA,Blue-collar,95721.1,1.99
C000292,F,60+,Low,Post-Graduate,Single,GA,Blue-collar,36635.08,1.39
C000293,M,40-50,Med,Uneducated,Married,PA,Govt,140201.27,3.7
C000294,F,40-50,Low,Graduate,Married,NY,Businessman,100969.5,1.04
C000295,F,50-60,Low,Graduate,Unknown,GA,Retirees,117936.42,4.32
C000296,F,40-50,Low,Doctorate,Unknown,FL,Businessman,31891.91,2.43
C000297,M,40-50,High,Post-Graduate,Unknown,IL,Govt,192386.49,1.7
C000298,F,30-40,High,Graduate,Married,GA,Govt,171816.02,3.02
C000299,M,50-60,Med,Uneducated,Single,PA,Govt,26854.16,1.57
C000300,F,30-40,High,Graduate,Unknown,FL,Businessman,82420.21,3.4
C000301,F,50-60,Low,Doctorate,Married,MI,Selfemployed,174701.12,1.36
C000302,F,60+,High,High School,Single,GA,Govt,130830.8,2.78
C000303,F,40-50,Low,Unknown,Single,TX,Retirees,69795.34,4.21
C000304,M,40-50,Med,Unknown,Single,NY,White-collar,92394.13,3.44
C000305,M,40-50,Low,Graduate,Single,IL,Selfemployed,245686.38,2.64
C000306,M,40-50,High,Unknown,Single,MI,Govt,80555.31,2.45
C000307,F,60+,Med,Post-Graduate,Married,PA,Blue-collar,166674.51,4.13
C000308,F,30-40,Low,Unknown,Married,IL,Selfemployed,46773.83,2.86
C000309,M,40-50,High,Doctorate,Unknown,MI,Govt,146592.28,1.32
C000310,M,40-50,Med,High School,Married,CA,Blue-collar,24885.46,1.95
C000311,M,40-50,Low,Uneducated,Unknown,FL,Govt,84250.97,1.64
C000312,F,40-50,Med,High School,Single,TX,Selfemployed,234949.35,3.4
C000313,M,40-50,Med,High School,Single,NY,Retirees,105518.55,4.91
C000314,F,60+,Med,Doctorate,Unknown,FL,Businessman,17799.98,3.11
C000315,F,50-60,Med,Graduate,Married,GA,Govt,49818.83,4.51
C000316,M,50-60,High,High School,Single,NJ,Selfemployed,187582.15,2.77
C000317,M,60+,Low,Uneducated,Single,NJ,Retirees,195949.97,4.71
C000318,F,40-50,Low,High School,Married,CA,Retirees,95945.47,1.41
C000319,F,50-60,Low,Doctorate,Single,IL,White-collar,80652.12,2.28
C000320,M,30-40,Med,Graduate,Unknown,TX,White-collar,78879.94,1.46
C000321,M,30-40,Med,Doctorate,Married,FL,Blue-collar,47142.81,4.13
C000322,M,60+,Low,Doctorate,Single,TX,Blue-collar,77566.1,4.11
C000323,F,30-40,Low,Graduate,Single,NY,Blue-collar,208066.45,2.84
C000324,F,30-40,Low,Unknown,Single,TX,Selfemployed,96249.91,3.17
C000325,M,40-50,High,Doctorate,Unknown,CA,Retirees,46792.49,3.8
C000326,M,50-60,High,Unknown,Unknown,TX,Govt,25643.84,4.23
C000327,M,20-30,Low,Post-Graduate,Married,PA,Selfemployed,135221.49,1.94
C000328,F,20-30,Low,Post-Graduate,Married,IL,Govt,107847.23,3.4
C000329,M,50-60,High,Post-Graduate,Single,TX,Blue-collar,239792.76,1.62
C000330,M,60+,Low,Doctorate,Married,MI,Retirees,153722.72,2.61
C000331,M,50-60,Med,Uneducated,Married,CA,Blue-collar,37037.58,2.25
C000332,F,20-30,Med,Unknown,Married,NJ,Govt,27654.87,1.55
C000333,F,60+,Med,Unknown,Unknown,PA,Businessman,45012.45,1.33
C000334,F,40-50,Low,Unknown,Married,TX,Govt,51432.04,4.85
C000335,F,40-50,Med,Uneducated,Unknown,GA,Govt,42948.98,4.47
C000336,M,40-50,Low,High School,Married,GA,Govt,186410.76,3.66
C000337,M,40-50,Med,Doctorate,Single,GA,Blue-collar,226771.07,1.95
C000338,F,50-60,Low,Post-Graduate,Unknown,GA,White-collar,208397.39,4.85
C000339,F,50-60,High,Unknown,Married,GA,Retirees,79567.82,2.39
C000340,M,30-40,Low,Unknown,Unknown,GA,Retirees,43982.83,4.42
C000341,M,40-50,Med,Unknown,Unknown,NJ,Retirees,16424.2,4.83
C000342,M,30-40,Med,Uneducated,Unknown,NC,White-collar,105859.23,2.23
C000343,M,30-40,High,Post-Graduate,Unknown,PA,Selfemployed,141590.01,4.19
C000344,M,20-30,High,Unknown,Single,FL,Retirees,77791.33,1.18
C000345,M,20-30,Med,Unknown,Single,TX,Blue-collar,80881.74,2.98
C000346,F,50-60,High,Post-Graduate,Married,TX,Blue-collar,63950.13,2.44
C000347,F,50-60,Low,Uneducated,Married,GA,Blue-collar,168308.34,1.24
C000348,F,20-30,Med,Unknown,Single,PA,Businessman,176058.19,1.91
C000349,F,40-50,Med,Doctorate,Unknown,NC,Businessman,128855.26,2.95
C000350,M,50-60,Med,Doctorate,Unknown,GA,Retirees,64166.11,1.44
C000351,F,60+,Low,Post-Graduate,Married,TX,Blue-collar,222804.01,1.79
C000352,M,50-60,High,Graduate,Unknown,TX,Businessman,85139.78,4.4
